"6/30/2021 12:00:00","","53.96"
"6/30/2021 12:15:00","","54.14"
"6/30/2021 12:30:00","","54.32"
"6/30/2021 12:45:00","","54.50"
"6/30/2021 13:00:00","","54.68"
"6/30/2021 13:15:00","","54.86"
"6/30/2021 13:30:00","","54.86"
"6/30/2021 13:45:00","","55.04"
"6/30/2021 14:00:00","","55.22"
"6/30/2021 14:15:00","","55.40"
"6/30/2021 14:30:00","","55.58"
"6/30/2021 14:45:00","","55.76"
"6/30/2021 15:00:00","","55.94"
"6/30/2021 15:15:00","","55.94"
"6/30/2021 15:30:00","","56.12"
"6/30/2021 15:45:00","","56.30"
"6/30/2021 16:00:00","","56.30"
"6/30/2021 16:15:00","","56.48"
"6/30/2021 16:30:00","","56.66"
"6/30/2021 16:45:00","","56.66"
"6/30/2021 17:00:00","","56.66"
"6/30/2021 17:15:00","","56.84"
"6/30/2021 17:30:00","","56.84"
"6/30/2021 17:45:00","","56.84"
"6/30/2021 18:00:00","","57.02"
"6/30/2021 18:15:00","","57.02"
"6/30/2021 18:30:00","","57.02"
"6/30/2021 18:45:00","","57.02"
"6/30/2021 19:00:00","","57.02"
"6/30/2021 19:15:00","","57.02"
"6/30/2021 19:30:00","","56.84"
"6/30/2021 19:45:00","","56.84"
"6/30/2021 20:00:00","","56.84"
"6/30/2021 20:15:00","","56.84"
"6/30/2021 20:30:00","","56.84"
"6/30/2021 20:45:00","","56.84"
"6/30/2021 21:00:00","","56.84"
"6/30/2021 21:15:00","","56.84"
"6/30/2021 21:30:00","","56.66"
"6/30/2021 21:45:00","","56.66"
"6/30/2021 22:00:00","","56.66"
"6/30/2021 22:15:00","","56.48"
"6/30/2021 22:30:00","","56.48"
"6/30/2021 22:45:00","","56.48"
"6/30/2021 23:00:00","","56.30"
"6/30/2021 23:15:00","","56.30"
"6/30/2021 23:30:00","","56.30"
"6/30/2021 23:45:00","","56.12"
"7/1/2021 0:00:00","","56.12"
"7/1/2021 0:15:00","","55.94"
"7/1/2021 0:30:00","","55.94"
"7/1/2021 0:45:00","","55.94"
"7/1/2021 1:00:00","","55.76"
"7/1/2021 1:15:00","489.94","55.76"
"7/1/2021 1:30:00","489.96","55.76"
"7/1/2021 1:45:00","489.96","55.58"
"7/1/2021 2:00:00","489.95","55.58"
"7/1/2021 2:15:00","489.96","55.40"
"7/1/2021 2:30:00","489.94","55.40"
"7/1/2021 2:45:00","489.95","55.40"
"7/1/2021 3:00:00","489.96","55.22"
"7/1/2021 3:15:00","489.96","55.22"
"7/1/2021 3:30:00","489.95","55.22"
"7/1/2021 3:45:00","489.95","55.04"
"7/1/2021 4:00:00","489.94","55.04"
"7/1/2021 4:15:00","489.94","55.04"
"7/1/2021 4:30:00","489.95","54.86"
"7/1/2021 4:45:00","489.96","54.86"
"7/1/2021 5:00:00","489.95","54.86"
"7/1/2021 5:15:00","489.91","54.68"
"7/1/2021 5:30:00","489.93","54.68"
"7/1/2021 5:45:00","489.94","54.68"
"7/1/2021 6:00:00","489.93","54.50"
"7/1/2021 6:15:00","489.93","54.50"
"7/1/2021 6:30:00","489.95","54.50"
"7/1/2021 6:45:00","489.94","54.50"
"7/1/2021 7:00:00","489.90","54.32"
"7/1/2021 7:15:00","489.95","54.32"
"7/1/2021 7:30:00","489.93","54.32"
"7/1/2021 7:45:00","489.93","54.32"
"7/1/2021 8:00:00","489.93","54.32"
"7/1/2021 8:15:00","489.93","54.32"
"7/1/2021 8:30:00","489.94","54.32"
"7/1/2021 8:45:00","489.94","54.32"
"7/1/2021 9:00:00","489.94","54.32"
"7/1/2021 9:15:00","489.94","54.32"
"7/1/2021 9:30:00","489.95","54.50"
"7/1/2021 9:45:00","489.93","54.50"
"7/1/2021 10:00:00","489.94","54.50"
"7/1/2021 10:15:00","489.94","54.68"
"7/1/2021 10:30:00","489.92","54.68"
"7/1/2021 10:45:00","489.93","54.86"
"7/1/2021 11:00:00","489.93","55.04"
"7/1/2021 11:15:00","489.94","55.04"
"7/1/2021 11:30:00","489.92","55.22"
"7/1/2021 11:45:00","489.93","55.40"
"7/1/2021 12:00:00","489.93","55.40"
"7/1/2021 12:15:00","489.95","55.58"
"7/1/2021 12:30:00","489.93","55.76"
"7/1/2021 12:45:00","489.93","55.94"
"7/1/2021 13:00:00","489.94","56.12"
"7/1/2021 13:15:00","489.92","56.30"
"7/1/2021 13:30:00","489.93","56.48"
"7/1/2021 13:45:00","489.93","56.66"
"7/1/2021 14:00:00","489.93","56.84"
"7/1/2021 14:15:00","489.92","56.84"
"7/1/2021 14:30:00","489.91","57.02"
"7/1/2021 14:45:00","489.91","57.20"
"7/1/2021 15:00:00","489.92","57.38"
"7/1/2021 15:15:00","489.92","57.56"
"7/1/2021 15:30:00","489.92","57.74"
"7/1/2021 15:45:00","489.93","57.74"
"7/1/2021 16:00:00","489.92","57.92"
"7/1/2021 16:15:00","489.93","58.10"
"7/1/2021 16:30:00","489.93","58.10"
"7/1/2021 16:45:00","489.92","58.28"
"7/1/2021 17:00:00","489.93","58.28"
"7/1/2021 17:15:00","489.92","58.46"
"7/1/2021 17:30:00","489.91","58.46"
"7/1/2021 17:45:00","489.92","58.64"
"7/1/2021 18:00:00","489.90","58.64"
"7/1/2021 18:15:00","489.92","58.64"
"7/1/2021 18:30:00","489.92","58.82"
"7/1/2021 18:45:00","489.91","58.82"
"7/1/2021 19:00:00","489.91","58.82"
"7/1/2021 19:15:00","489.92","58.82"
"7/1/2021 19:30:00","489.91","58.82"
"7/1/2021 19:45:00","489.91","58.82"
"7/1/2021 20:00:00","489.92","58.82"
"7/1/2021 20:15:00","489.90","58.82"
"7/1/2021 20:30:00","489.90","58.64"
"7/1/2021 20:45:00","489.90","58.64"
"7/1/2021 21:00:00","489.91","58.64"
"7/1/2021 21:15:00","489.93","58.64"
"7/1/2021 21:30:00","489.90","58.46"
"7/1/2021 21:45:00","489.89","58.46"
"7/1/2021 22:00:00","489.88","58.46"
"7/1/2021 22:15:00","489.90","58.28"
"7/1/2021 22:30:00","489.90","58.28"
"7/1/2021 22:45:00","489.88","58.28"
"7/1/2021 23:00:00","489.90","58.10"
"7/1/2021 23:15:00","489.92","58.10"
"7/1/2021 23:30:00","489.90","58.10"
"7/1/2021 23:45:00","489.90","57.92"
"7/2/2021 0:00:00","489.91","57.92"
"7/2/2021 0:15:00","489.89","57.92"
"7/2/2021 0:30:00","489.90","57.74"
"7/2/2021 0:45:00","489.90","57.74"
"7/2/2021 1:00:00","489.89","57.56"
"7/2/2021 1:15:00","489.90","57.56"
"7/2/2021 1:30:00","489.88","57.38"
"7/2/2021 1:45:00","489.90","57.38"
"7/2/2021 2:00:00","489.89","57.38"
"7/2/2021 2:15:00","489.89","57.20"
"7/2/2021 2:30:00","489.90","57.20"
"7/2/2021 2:45:00","489.89","57.20"
"7/2/2021 3:00:00","489.89","57.02"
"7/2/2021 3:15:00","489.89","57.02"
"7/2/2021 3:30:00","489.92","57.02"
"7/2/2021 3:45:00","489.89","56.84"
"7/2/2021 4:00:00","489.86","56.84"
"7/2/2021 4:15:00","489.89","56.84"
"7/2/2021 4:30:00","489.90","56.66"
"7/2/2021 4:45:00","489.90","56.66"
"7/2/2021 5:00:00","489.90","56.66"
"7/2/2021 5:15:00","489.89","56.48"
"7/2/2021 5:30:00","489.90","56.48"
"7/2/2021 5:45:00","489.88","56.48"
"7/2/2021 6:00:00","489.89","56.48"
"7/2/2021 6:15:00","489.89","56.30"
"7/2/2021 6:30:00","489.89","56.30"
"7/2/2021 6:45:00","489.86","56.30"
"7/2/2021 7:00:00","489.88","56.30"
"7/2/2021 7:15:00","489.89","56.30"
"7/2/2021 7:30:00","489.88","56.30"
"7/2/2021 7:45:00","489.88","56.30"
"7/2/2021 8:00:00","489.88","56.30"
"7/2/2021 8:15:00","489.87","56.12"
"7/2/2021 8:30:00","489.87","56.30"
"7/2/2021 8:45:00","489.90","56.30"
"7/2/2021 9:00:00","489.89","56.30"
"7/2/2021 9:15:00","489.89","56.30"
"7/2/2021 9:30:00","489.89","56.30"
"7/2/2021 9:45:00","489.90","56.30"
"7/2/2021 10:00:00","489.89","56.48"
"7/2/2021 10:15:00","489.88","56.48"
"7/2/2021 10:30:00","489.89","56.66"
"7/2/2021 10:45:00","489.87","56.66"
"7/2/2021 11:00:00","489.90","56.84"
"7/2/2021 11:15:00","489.90","56.84"
"7/2/2021 11:30:00","489.89","57.02"
"7/2/2021 11:45:00","489.90","57.20"
"7/2/2021 12:00:00","489.87","57.20"
"7/2/2021 12:15:00","489.86","57.38"
"7/2/2021 12:30:00","489.88","57.56"
"7/2/2021 12:45:00","489.88","57.56"
"7/2/2021 13:00:00","489.87","57.74"
"7/2/2021 13:15:00","489.87","57.92"
"7/2/2021 13:30:00","489.87","57.92"
"7/2/2021 13:45:00","489.87","58.10"
"7/2/2021 14:00:00","489.85","58.10"
"7/2/2021 14:15:00","489.88","58.28"
"7/2/2021 14:30:00","489.87","58.46"
"7/2/2021 14:45:00","489.86","58.46"
"7/2/2021 15:00:00","489.87","58.64"
"7/2/2021 15:15:00","489.87","58.64"
"7/2/2021 15:30:00","489.88","58.82"
"7/2/2021 15:45:00","489.88","58.82"
"7/2/2021 16:00:00","489.85","59.00"
"7/2/2021 16:15:00","489.87","59.00"
"7/2/2021 16:30:00","489.87","59.00"
"7/2/2021 16:45:00","489.87","59.00"
"7/2/2021 17:00:00","489.87","59.00"
"7/2/2021 17:15:00","489.86","59.18"
